reserved;object;attribute;briefDescription;displayFormat;definition
;QpDampedObj;value_2;;;
;QpDampedObj;value_3;;;
;QpDampedObj;value_4;;;
;QpDampedObj;value_5;;;
;QpDampedObj;value_6;;;
;QpDampedObj;value_7;;;
;QpDampedObj;value_8;;;
;QpDampedObj;value_9;;;
;QpDampedObj;value_10;;;
;QpDampedObj;value_11;;;
;QpDampedObj;value_12;;;
;QpDampedObj;value_13;;;
;QpDampedObj;value_14;;;
;QpDampedObj;value_15;;;
;QpDampedObj;value_16;;;
;QpDampedObj;value_17;;;
;QpDampedObj;value_18;;;
;QpDampedObj;value_19;;;
;QpDampedObj;value_20;;;
;QpSimObj;unit;;ENUMERATION;_T_POWER
;QpSimObj;type;;;
;QpSimObj;value_0;;NUMERIC;
;QpSimObj;value_1;;;
;QpSimObj;value_2;;;
;QpSimObj;value_3;;;
;QpSimObj;value_4;;;
;QpSimObj;value_5;;;
;QpSimObj;value_6;;;
;QpSimObj;value_7;;;
;QpSimObj;value_8;;;
;QpSimObj;value_9;;;
;QpSimObj;value_10;;;
;QpSimObj;value_11;;;
;QpSimObj;value_12;;;
;QpSimObj;value_13;;;
;QpSimObj;value_14;;;
;QpSimObj;value_15;;;
;QpSimObj;value_16;;;
;QpSimObj;value_17;;;
;QpSimObj;value_18;;;
;QpSimObj;value_19;;;
;QpSimObj;value_20;;;
;steamStatus;;;ENUMERATION;_STEAMSTATUS
;steamType;;;ENUMERATION;_STEAMTYPE
;liquidCorrection;;;ENUMERATION;_LIQUIDCORRECTION
;heatCapacity;;;NUMERIC;
;densityRef;;;NUMERIC;
;densityS;;;NUMERIC;
;densityExpandBeta2;;;NUMERIC;
;volumeExpandBeta1;;;NUMERIC;
;gasRef;;;ENUMERATION;_GAS_REF_CONDITIONS
;gasComputeType;;;ENUMERATION;_GAS_COMPUTATION_TYPE
;gasDensitySelection;;;ENUMERATION;_GAS_MASS_COMPUTATION
;calorificEnergy;;;NUMERIC;
;refTemperature;;;NUMERIC;
;refPressure;;;NUMERIC;
;QnMaxDN;;;NUMERIC;
;QmMaxDN;;;NUMERIC;
;QpMaxDN;;;NUMERIC;
;QnPartialMaxDNDuplicated;;;NUMERIC;
;QvPartialMaxDN;;;NUMERIC;
;QmObj;unit;;ENUMERATION;_T_MASS_FLOW
;QmObj;type;;;
;QmObj;value_0;;NUMERIC;
;QmObj;value_1;;;
;QmObj;value_2;;;
;QmObj;value_3;;;
;QmObj;value_4;;;
;QmObj;value_5;;;
;QmObj;value_6;;;
;QmObj;value_7;;;
;QmObj;value_8;;;
;QmObj;value_9;;;
;QmObj;value_10;;;
;QmObj;value_11;;;
;QmObj;value_12;;;
;QmObj;value_13;;;
;QmObj;value_14;;;
;QmObj;value_15;;;
;QmObj;value_16;;;
;QmObj;value_17;;;
;QmObj;value_18;;;
;QmObj;value_19;;;
;QmObj;value_20;;;
;molFractions;;;NUMERIC;
;relativeDensityRef;;;ENUMERATION;_RELATIVE_DENSITY_REF
