Reserved;Signal;Subsys Index;Object Index;Attribute Index;Number dp's;Eng Units;Bargraph Type;Signals View;English Short Tag;English Long Tag;German Short Tag;German Long Tag;French Short Tag;French Long Tag;Espanol Short Tag;Espanol Long Tag;Italian Short Tag;Italian Long Tag;Dutch Short Tag;Dutch Long Tag;Danish Short Tag;Danish Long Tag;Swedish Short Tag;Swedish Long Tag;Finish Short Tag;Finish Long Tag;Polish Short Tag;Polish Long Tag;Russian Short Tag;Russian Long Tag;Chinese Short Tag;Chinese Long Tag
##Module HMIGen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##ModuleRevision 0x002402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##FileRevision 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;42;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;43;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;44;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;45;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;46;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;47;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;48;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;49;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;50;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;51;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;52;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;53;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;54;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;55;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;56;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;57;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;58;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;59;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
;60;CDT_IDX;CDT_IDX_cpuLoad;0;0;;Use Upper/Lower;NO;;;;;;;;;;;;;;;;;;;;;;;;
