reserved;Target Subsystem Index;Object Index;Attribute Index;Bas;Std;Adv;Svc
##Module ARM_Gen;;;;;;;
##ModuleRevision 0x010101;;;;;;;
##FileRevision 2;;;;;;;
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_writeAutoZero;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvLowCutOff;0;RO;RW;RW;RW
;HMI_IDX;HMI_IDX_autoscrollEnable;0;RO;RW;RW;RW
;HMI_IDX;HMI_IDX_customDP_1;0;RO;RW;RW;RW
;HMI_IDX;HMI_IDX_customDP_2;0;RO;RW;RW;RW
;HMI_IDX;HMI_IDX_DateFormat;0;RO;RW;RW;RW
;HMI_IDX;HMI_IDX_displayTest;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_modeLCDLight;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_switchBLE;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagClearHistory;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_simulationMode;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvSimObj;UOM_PF_unit;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvSimObj;UOM_PF_value_0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvPerSim;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmSimObj;UOM_PF_unit;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmSimObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmPerSim;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperatureSim_Obj;UOM_PF_unit;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperatureSim_Obj;UOM_PF_value_0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_elettronicTemperatureSimulation_Obj;UOM_PF_value_0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_simuFrequency;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_lgcSimCmd;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_simuPulsesNum;0;RO;RW;RW;RW
;AI_IDX;AI_IDX_aiSimulationData;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_frequency_SimObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagSimulationType;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_forceReplace;0;RO;RO;RO;RW
;CDT_IDX;CDT_IDX_converterType;0;RO;RO;RO;RW
;CDT_IDX;CDT_IDX_vortexmeterSize;0;RO;RO;RO;RW
;CDT_IDX;CDT_IDX_swirlmeterSize;0;RO;RO;RO;RW
;SVM_IDX;SVM_IDX_QvMaxDNObj;UOM_PF_value_0;RO;RO;RO;RW
;MVM_IDX;MVM_IDX_QvPartialMaxDNObj;UOM_PF_value_0;RO;RO;RO;RO
;MVM_IDX;MVM_IDX_QmMaxDNObj;UOM_PF_value_0;RO;RO;RO;RO
;MVM_IDX;MVM_IDX_QnMaxDNObj;UOM_PF_value_0;RO;RO;RO;RO
;MVM_IDX;MVM_IDX_QnPartialMaxDNObj;UOM_PF_value_0;RO;RO;RO;RO
;MVM_IDX;MVM_IDX_QpMaxDNObj;UOM_PF_value_0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;1;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;2;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;3;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;4;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;5;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;6;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;7;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;1;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;2;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;3;RO;RO;RO;RO
