reserved;definition;name;value;briefDescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 24;;;;
Copyright ABB 2011.;;;;
All rights reserved. Reproduction modification;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
";;;;
";;;;
;lockDeviceSelectionTable;LOCK_DEVICE_ALL;3;no changes in the device configuration, by any master is allowed
;lockDeviceStateTable;LOCK_STATE_UNLOCKED;0;See GetDeviceLockState(). Local panels check for unlocked else locked,
;lockDeviceStateTable;LOCK_STATE_SEC_MASTER_LOCKED;65;See GetDeviceLockState().  The secondary master channel is protected,
;lockDeviceStateTable;LOCK_STATE_SEC_MASTER_LOCKED_ALL;66;See GetDeviceLockState().  The secondary master initiated lock all, so only the sec master can remove this protection
;lockDeviceStateTable;LOCK_STATE_PRIM_MASTER_LOCKED;129;See GetDeviceLockState().  The primary master channel is protected,
;lockDeviceStateTable;LOCK_STATE_PRIM_MASTER_LOCKED_ALL;130;See GetDeviceLockState().  The primary master initiated lock all, so only the prim master can remove this protection
;lockDeviceStatusTable;LOCK_STATUS_NOT_LOCKED;0;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;lockDeviceStatusTable;LOCK_STATUS_LOCKED;1;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;lockDeviceStatusTable;LOCK_STATUS_PERMANENT_LOCK;2;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;lockDeviceStatusTable;LOCK_STATUS_PRIM_MASTER_LOCK;4;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;lockDeviceStatusTable;LOCK_STATUS_ALL_LOCK;8;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;lockDeviceStatusTable;LOCK_STATUS_GATEWAY_LOCK;16;See GetDeviceLockStatus(). Local panels check for unlocked else locked
;pvtLabelDistCode_Command15_Table;MFR_ID_HARTMANN_BRAUN;22;Value as used in HART 5.9 devices with command 15
;pvtLabelDistCode_Command15_Table;MFR_ID_ABB;26;Value as used in HART 5.9 devices with command 15
;pvtLabelDistCode_Command15_Table;VALUE_USED_IN_HART7;250;Value as used in HART 7.x devices with command 15
;;DEVICE_REV_MAPPED_TO_DIFF_VAL;255;
;T_HART_UNIT_TYPES;UM_T_NOT_CLASSIFIED;0;Device Variable Classification introduced HART6,
;T_HART_UNIT_TYPES;UM_T_LENGTH;69;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MASS;71;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_TIME;70;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_CURRENT;84;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_TEMPERATURE;64;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_AMOUNT_OF_SUBSTANCE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_LUMINOUS_INTENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_AREA;76;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_VOLUME;68;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_VELOCITY;67;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ACCELERATION;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_WAVENUMBER;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MASS_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_SPECIFIC_VOLUME;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_CURRENT_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MAGNETIC_FIELD_STRENGTH;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_CONCENTRATION;90;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_LUMINANCE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_REFRACTIVE_INDEX;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_VOLUME_FLOW;66;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MASS_FLOW;72;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_PLANE_ANGLE;86;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_SOLID_ANGLE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_FREQUENCY;80;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_FORCE;78;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_PRESSURE;65;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ENERGY;77;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_POWER;79;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_CHARGE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_EMF;83;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_CAPACITANCE;82;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_RESISTANCE;85;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_RESISTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_CONDUCTANCE;87;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_CONDUCTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MAGNETIC_FLUX;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MAGNETIC_FLUX_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_INDUCTANCE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_LUMINOUS_FLUX;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ILLUMINANCE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_RADIONUCLIDE_ACTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ABSORBED_DOSE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_EQUIVALENT_DOSE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_CATALYTIC_ACTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_DYNAMIC_VISCOSITY;74;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MOMENT_OF_FORCE;77;TODO Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_SURFACE_TENSION;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ANGULAR_VELOCITY;75;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ANGULAR_ACCELERATION;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_HEAT_FLUX_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_HEAT_CAPACITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_SPECIFIC_HEAT_CAPACITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_SPECIFIC_ENERGY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_THERMAL_CONDUCTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
