reserved;type;attribute;basicType;externalType
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 9;;;;
last edited Joachim Lenk;;;;
;T_MODBUS_DIAG_HIS;diagHisByte3Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte3Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte3Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte3Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte3Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte3Bit7;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte4Bit7;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit0;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit1;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit2;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit3;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit4;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit5;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit6;TUSIGN8;TUSIGN8
;T_MODBUS_DIAG_HIS;diagHisByte5Bit7;TUSIGN8;TUSIGN8
