reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte0Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte0Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte0Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte0Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte0Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte1Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte2Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte3Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit6;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte4Bit7;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit0;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit1;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit2;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit3;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit4;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit5;RO;RW;RW;RW
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit6;RO;RW;RW;RW
