reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 2;;;;
;outputAlarmMaskingCodesSize;MASKING_NUM_ELEMENTS;27;
;simulationStatusCodes;SIMULATION_DISABLED;0;
;simulationStatusCodes;SIMULATION_ENABLED;1;
;simulationStatusCodes;SIMULATION_ENABLED_OUTPUT;2;
;simulationStatusCodeSize;SIMULATION_NUM_ELEMENTS;3;
;;CONDITIONS_UNSET;255;
;;INACTIVE_GROUP;0;
;;ACTIVE_GROUP;255;
;;ALARM_BEHAVIOUR_OK;0;
;;ALARM_BEHAVIOUR_GENERAL_FAILURE;1;
