reserved;object;attribute;briefDescription;displayFormat;definition
##Module SubGen;;;;;
##ModuleRevision 0x020101;;;;;
##FileRevision 3;;;;;
;diagnosisCondition_process_flowrate_more_than_103Details;timeCounterDay;;NUMERIC;
;diagnosisCondition_process_flowrate_more_than_103Details;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_process_flowrate_more_than_103Details;timeStampLastDay;;NUMERIC;
;diagnosisCondition_pv_sensor_out_limsDetails;counter;;NUMERIC;
;diagnosisCondition_pv_sensor_out_limsDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_out_limsDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_pv_sensor_out_limsDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_out_limsDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_pv_sensor_out_rangeDetails;counter;;NUMERIC;
;diagnosisCondition_pv_sensor_out_rangeDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_out_rangeDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_pv_sensor_out_rangeDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_pv_sensor_out_rangeDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_sv_sensor_out_limsDetails;counter;;NUMERIC;
;diagnosisCondition_sv_sensor_out_limsDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_out_limsDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_sv_sensor_out_limsDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_out_limsDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_sv_sensor_out_rangeDetails;counter;;NUMERIC;
;diagnosisCondition_sv_sensor_out_rangeDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_out_rangeDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_sv_sensor_out_rangeDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_sv_sensor_out_rangeDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_low_flowrate_cutoffDetails;counter;;NUMERIC;
;diagnosisCondition_low_flowrate_cutoffDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_low_flowrate_cutoffDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_low_flowrate_cutoffDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_low_flowrate_cutoffDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_nv_concistency_checkDetails;counter;;NUMERIC;
;diagnosisCondition_nv_concistency_checkDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_nv_concistency_checkDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_nv_concistency_checkDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_nv_concistency_checkDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_tv_sensor_out_rangeDetails;counter;;NUMERIC;
;diagnosisCondition_tv_sensor_out_rangeDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_out_rangeDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_tv_sensor_out_rangeDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_out_rangeDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_tv_sensor_out_limsDetails;counter;;NUMERIC;
;diagnosisCondition_tv_sensor_out_limsDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_out_limsDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_tv_sensor_out_limsDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_tv_sensor_out_limsDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fv_sensor_failureDetails;counter;;NUMERIC;
;diagnosisCondition_fv_sensor_failureDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_failureDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fv_sensor_failureDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_failureDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tmaxDetails;counter;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tmaxDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tmaxDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tmaxDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tmaxDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tminDetails;counter;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tminDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tminDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tminDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_ambient_temp_reach_tminDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_nv_storage_activeDetails;counter;;NUMERIC;
;diagnosisCondition_nv_storage_activeDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_nv_storage_activeDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_nv_storage_activeDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_nv_storage_activeDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fv_sensor_out_limsDetails;counter;;NUMERIC;
;diagnosisCondition_fv_sensor_out_limsDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_out_limsDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fv_sensor_out_limsDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_out_limsDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fv_sensor_out_rangeDetails;counter;;NUMERIC;
;diagnosisCondition_fv_sensor_out_rangeDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_out_rangeDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fv_sensor_out_rangeDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fv_sensor_out_rangeDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_nv_replace_warnDetails;counter;;NUMERIC;
;diagnosisCondition_nv_replace_warnDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_nv_replace_warnDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_nv_replace_warnDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_nv_replace_warnDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_cb_insuf_input_voltageDetails;counter;;NUMERIC;
;diagnosisCondition_cb_insuf_input_voltageDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_cb_insuf_input_voltageDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_cb_insuf_input_voltageDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_cb_insuf_input_voltageDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_maintenance_warningDetails;counter;;NUMERIC;
;diagnosisCondition_maintenance_warningDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_maintenance_warningDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_maintenance_warningDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_maintenance_warningDetails;timeStampLastDay;;NUMERIC;
;diagnosisCondition_fe_nv_warningDetails;counter;;NUMERIC;
;diagnosisCondition_fe_nv_warningDetails;timeCounterMSec;;NUMERIC;
;diagnosisCondition_fe_nv_warningDetails;timeCounterDay;;NUMERIC;
;diagnosisCondition_fe_nv_warningDetails;timeStampLastMSec;;NUMERIC;
;diagnosisCondition_fe_nv_warningDetails;timeStampLastDay;;NUMERIC;
